year,quarter,mean_expo,std_expo,mean_risk,std_risk,mean_sent,mean_pos,mean_neg,n_firms,period,cc_balance,Mkt_RF,SMB,HML,RF,Mom,mkt_vol_4q
2013,1,0.0017469279588801401,0.0028759177456027045,6.7092364391951e-05,0.00028279860001155624,0.00027622764348206476,0.0006397318363954507,-0.00036350418197725283,2285,2013.0,0.0010032360183727035,0.11240916358399988,0.00819039778999997,0.00999432333800021,0.0,0.012958561888000153,0.0645513958632531
2013,2,0.0017802194508276534,0.003024914582369268,6.788571032132424e-05,0.00032442499848541476,0.0003324927083739046,0.0006713095365141189,-0.00033881684274586173,2053,2013.25,0.0010101263792599807,0.03150835839999999,0.005904052009999994,0.03070187125999979,0.0,-0.013721380146000106,0.047219283494193985
2013,3,0.0017715289039162113,0.002982111189822902,6.943520173041894e-05,0.0002880465937887401,0.0003416016466302368,0.000678329806010929,-0.0003367281684881603,2194,2013.5,0.0010150579744990893,0.06661950564500008,0.05087516388800006,-0.033202771588,0.0,0.048544730191999896,0.04762295742380803
2013,4,0.0018134916103123451,0.0037916799399926185,7.201939266236985e-05,0.00042351811612586544,0.0003207483306891423,0.0006864137307882995,-0.00036566540951908774,2015,2013.75,0.0010520791403073873,0.10427899204699997,-0.00709246081599979,0.014123179999999902,0.0,0.004301600155999896,0.037254001397075236
2014,1,0.0016837676016260162,0.0028608312134872204,6.073095528455285e-05,0.0002464704619462208,0.0003021488630081301,0.0006298848235772357,-0.0003277359532520325,2459,2014.0,0.0009576207768292682,0.016203847383999825,-0.0059070827279998905,0.02452646284999993,0.0,0.003808736189000017,0.039242613382484165
2014,2,0.0018654198837420525,0.0034786599772009025,7.02645949137148e-05,0.0003239447767394914,0.00032132461943687555,0.0006955477670299728,-0.0003742231448683015,2201,2014.25,0.0010697709118982742,0.04514834059999995,-0.030842264349999926,0.004008366620000148,0.0,-0.023332639870000116,0.03709496279576243
2014,3,0.0018514715132819195,0.003367962976013198,6.266409468723223e-05,0.00024873602614219995,0.00038655538260497,0.000701917910882605,-0.0003153625205655527,2334,2014.5,0.0010172804314481578,0.0012229901120002218,-0.07241179745800008,-0.021099957032000072,0.0,0.012625405339999896,0.04552092080425796
2014,4,0.0018685026233766233,0.0036272052338394813,6.437596706864564e-05,0.0003170003840996761,0.0003922087221706865,0.000724287788961039,-0.0003320790282931354,2156,2014.75,0.0010563668172541745,0.05081688872000001,0.04495474467500027,-0.02688811397199986,0.0,0.015134800752999888,0.0235962497639731
2015,1,0.0018288079421942586,0.0034807744644187004,7.079928077074323e-05,0.00033785204948302936,0.00035696002831301613,0.0007119679421942588,-0.0003550078698387731,2540,2015.0,0.001066975812033032,0.01698446332999981,0.030669012304999965,-0.05538567669000005,0.0,0.03238209619999988,0.02346519525643978
2015,2,0.0019017792340036562,0.003447207377906427,7.696350319926874e-05,0.0003757432131119875,0.00032279631627056673,0.0007011594104204753,-0.00037836310054844603,2187,2015.25,0.0010795225109689213,0.004181681384000102,0.008107838930000222,-0.0015547416399999126,0.0,0.009467756263999982,0.022730521822327456
2015,3,0.0018877263474159146,0.003538002258934592,8.114028301886792e-05,0.00042395576540082107,0.0003326425730106645,0.0007043730127153404,-0.0003717304208367514,2437,2015.5,0.001076103433552092,-0.07465451871599993,-0.06345083217299996,-0.009827841999999865,0.0,0.13232607555199993,0.05310313107310104
2015,4,0.0019234418045433034,0.0037696363877688195,7.526471036441078e-05,0.00032530318562579743,0.00033208916138192143,0.0007182787288215806,-0.00038618958163748226,2113,2015.75,0.001104468310459063,0.06034345237499994,-0.0123315544,-0.03444900939700002,9.999999999998899e-05,0.023344490965999887,0.05629931864058351
2016,1,0.0017589234910465577,0.0031931018823703108,6.782525865499402e-05,0.00029559575650911344,0.00031934884003183446,0.0006865998921607641,-0.00036725106446478315,2512,2016.0,0.0010538509566255473,0.00750583358000001,-0.019650311499999962,0.02695091206399991,0.0005000800040000364,-0.07717492159999995,0.05563791468271274
2016,2,0.0019555254378612716,0.003737709307397901,7.312901107899807e-05,0.0004126484657833522,0.0003392662610789981,0.0007362060197495183,-0.0003969397408477842,2076,2016.25,0.0011331457605973025,0.02685561087200017,0.011921456840000122,0.00034773243599994785,0.0004000500019998299,-0.00591018052000003,0.05742150110278636
2016,3,0.001941765404001703,0.003726601641117309,7.664679438058748e-05,0.0003941762198184738,0.000390145134951043,0.0007666184802043423,-0.0003764733333333333,2348,2016.5,0.0011430918135376755,0.047313191261999954,0.05804557231999996,0.0067819276520000304,0.0006001200079999158,-0.06364307535400004,0.02320306983176764
2016,4,0.0019885623834974215,0.0037270523029039005,6.848189779653072e-05,0.00029103123211378156,0.000375858005625879,0.0007394053108298171,-0.00036354730379746834,2133,2016.75,0.0011029526146272854,0.04612130883400001,0.01105509823999995,0.16652821949299978,0.0006001100060000208,-0.04542759317099987,0.01880003287466845
2017,1,0.0019268433488664988,0.0035142491315191668,7.54235873215785e-05,0.0002776051875449218,0.00043234240931989927,0.0007767873769941226,-0.00034444493870696894,2381,2017.0,0.0011212323157010916,0.057383200790000144,-0.021921811779999967,-0.07408120619999992,0.0011004000479997167,-0.03372425217100006,0.012751697094970666
