year,month,quarter,mean_expo,std_expo,mean_risk,std_risk,mean_sent,mean_pos,mean_neg,cc_balance,n_firms,Mkt_RF,SMB,HML,RF,Mom,period,mkt_vol_12m,expo_risk_ratio
2003,4,2,0.0010948499982030549,0.00182552950917285,4.886436118598383e-05,0.00017328604912249202,0.00010797514555256064,0.00034700529469901167,-0.0002390301293800539,0.0005860354240790655,1113,0.0818,0.0076,0.012199999999999999,0.001,-0.0935,2003.25,0.061864269807279534,0.044631097230738215
2003,5,2,0.0010948499982030549,0.00182552950917285,4.886436118598383e-05,0.00017328604912249202,0.00010797514555256064,0.00034700529469901167,-0.0002390301293800539,0.0005860354240790655,1113,0.0605,0.0461,0.006999999999999999,0.0009,-0.1075,2003.3333333333333,0.06523812965288062,0.044631097230738215
2003,6,2,0.0010948499982030549,0.00182552950917285,4.886436118598383e-05,0.00017328604912249202,0.00010797514555256064,0.00034700529469901167,-0.0002390301293800539,0.0005860354240790655,1113,0.014199999999999999,0.017,0.0014000000000000002,0.001,-0.0123,2003.4166666666667,0.06185204976883192,0.044631097230738215
2003,7,3,0.001158305574728261,0.0017795530932499812,4.367571195652174e-05,0.00018550756876376868,0.00010776979755434783,0.00037123368070652175,-0.0002634639599184783,0.000634697640625,1472,0.0233,0.0493,-0.015300000000000001,0.0007000000000000001,-0.003,2003.5,0.056078027350426225,0.03770655096442317
2003,8,3,0.001158305574728261,0.0017795530932499812,4.367571195652174e-05,0.00018550756876376868,0.00010776979755434783,0.00037123368070652175,-0.0002634639599184783,0.000634697640625,1472,0.0233,0.024399999999999998,0.016399999999999998,0.0007000000000000001,-0.0053,2003.5833333333333,0.05615819309339601,0.03770655096442317
2003,9,3,0.001158305574728261,0.0017795530932499812,4.367571195652174e-05,0.00018550756876376868,0.00010776979755434783,0.00037123368070652175,-0.0002634639599184783,0.000634697640625,1472,-0.0124,0.0085,0.0014000000000000002,0.0008,-0.0007000000000000001,2003.6666666666667,0.04394352694773214,0.03770655096442317
2003,10,4,0.0012561262693389591,0.002124419528105516,4.928537974683544e-05,0.00018632786905022351,0.0001214748776371308,0.00041819973839662446,-0.0002967248635724332,0.0007149246019690576,1422,0.0608,0.0259,0.022099999999999998,0.0007000000000000001,0.0401,2003.75,0.042063050617765795,0.03923600439402609
2003,11,4,0.0012561262693389591,0.002124419528105516,4.928537974683544e-05,0.00018632786905022351,0.0001214748776371308,0.00041819973839662446,-0.0002967248635724332,0.0007149246019690576,1422,0.013500000000000002,0.0206,0.0172,0.0007000000000000001,0.013600000000000001,2003.8333333333333,0.040005518558712816,0.03923600439402609
2003,12,4,0.0012561262693389591,0.002124419528105516,4.928537974683544e-05,0.00018632786905022351,0.0001214748776371308,0.00041819973839662446,-0.0002967248635724332,0.0007149246019690576,1422,0.0429,-0.0268,0.0151,0.0008,-0.0554,2003.9166666666667,0.03354057131657755,0.03923600439402609
2004,1,1,0.001210557177480916,0.001957962552805065,4.439561577608142e-05,0.00017566658390451227,0.0001280357627226463,0.0004073323905852417,-0.00027929645801526716,0.0006866288486005089,1572,0.0215,0.0254,0.0242,0.0007000000000000001,0.025699999999999997,2004.0,0.02989823522713289,0.03667370111430461
