year,quarter,Mkt_RF,SMB,HML,RF
1937,2,-0.12015059022399999,-0.08122904618800009,-0.09708115139199991,0.0012004500539999352
1937,3,-0.10514473150399994,-0.057594172000000166,-0.05941875762500004,0.0009002600240000103
1937,4,-0.20676655536300004,-0.10798439215999989,-0.017672182832000116,0.0004000399999999349
1938,1,-0.19072136927999994,0.007432407079999814,-0.06973903118300007,-9.999999999998899e-05
1938,2,0.3635466210080003,0.08151095023999999,0.005796930040000037,9.999999999998899e-05
1938,3,0.05320520514799987,0.012557064416000019,-0.04264631272000008,9.997999999988849e-05
1938,4,0.10330730048000003,0.012455206055000057,0.043399294080000095,-0.0005000600000000244
1939,1,-0.143784004959,-0.05644772784999996,-0.09292297827200013,-0.00010000999900006136
1939,2,0.009350163514000087,0.03377527315999984,-0.0512031155199999,0.0002000099999999172
1939,3,0.20229902645600029,0.1984433498660001,0.18906906286399994,-1.0000000050247593e-08
1939,4,-0.013525621914999841,-0.04323706316800002,-0.14526203163000007,0.0
1940,1,0.010246995679999982,0.04029967870399975,-0.023829122044000228,0.0
1940,2,-0.16598719960000008,-0.05146993998400007,0.007563113792000031,-0.00019999999999997797
1940,3,0.07970313362300008,0.040340809759999985,-0.013417979749999809,-1.0000000050247593e-08
1940,4,0.02029182034499999,0.0014742347920000398,0.038845647839999886,0.0
1941,1,-0.04756847898399996,-0.005058237592000081,0.07949086653499982,-0.00010000999899995033
1941,2,0.014223900434000125,-0.010194329871999863,0.04675449886100003,-9.999999999998899e-05
1941,3,0.04759948815199988,0.042535218835999755,0.05773997028000011,0.0005000700030000083
1941,4,-0.11640587415999992,-0.05898193381600003,-0.04980381068000006,9.999999999998899e-05
1942,1,-0.08177931356000001,0.11363907080999991,0.08169963515000012,0.0004000500020000519
1942,2,0.040451798863999855,-0.048595082239999976,-0.0020853695290000696,0.0006001100060000208
1942,3,0.08133957315999996,0.004388633780000095,0.06252205066700012,0.0009002700269997721
1942,4,0.1245655171240001,-0.023102710510000013,0.025271337544999994,0.0009002700269997721
1943,1,0.20587079242399997,0.1988443620839997,0.21615830120399981,0.0009002700269997721
1943,2,0.08546814665000024,0.05598110502799991,0.08512216439999998,0.0008002100180000138
1943,3,-0.012271513600000006,-0.016733738080000005,-0.013077101698000027,0.0009002700269997721
1943,4,-0.010884569784999854,0.020902179799999754,0.004540340719999758,0.0009002700269997721
1944,1,0.04628502374800014,0.042196225479999905,0.06615307077499999,0.0008002100179997917
1944,2,0.08996206554799979,0.04472294471199989,0.0184830864979999,0.0009002700269997721
1944,3,0.0006676535119998217,0.03457971980800001,-0.03031704575999994,0.0008002100179997917
1944,4,0.05988394534399988,0.02423664512000001,0.07999503058400004,0.0008002100179997917
1945,1,0.04128142780699995,0.023814691459999926,0.034894240531999854,0.0007001600120000173
1945,2,0.10103455308000009,0.0522068860160001,0.07878340509799986,0.0008002100179997917
1945,3,0.08871772740200012,0.018690063200000218,-0.06582125448000009,0.0009002700269997721
1945,4,0.10803110713999997,0.0894204279680002,0.04025095840000015,0.0008002100180000138
1946,1,0.059176763392000176,0.03582754807999988,0.006074141371999797,0.0009002700269997721
1946,2,0.04122365848200005,0.0227485732199999,0.010267651819999779,0.0009002700269997721
1946,3,-0.18242446193200001,-0.07942790034000002,-0.013325109100000176,0.0009002700269997721
1946,4,0.03437740313600024,-0.002006289999999966,0.035518227315000095,0.0009002700269997721
1947,1,-0.015360841000000125,0.012687535999999833,5.29768040000711e-05,0.0009002700269997721
1947,2,-0.007167577600000086,-0.0741671740269999,0.0052521459199998954,0.0009002700269997721
1947,3,0.0176562005480001,0.034540895862000154,0.04303356550400039,0.0012004500539997132
1947,4,0.03453815494700008,-0.03619671936400004,0.04965353019800012,0.0020013202879998193
1948,1,-0.006878469326000003,0.008980925919999994,0.06015357187999992,0.0023017504409996725
1948,2,0.11114819101999984,-0.025503080296000014,0.057171299983999724,0.0025020805759998765
1948,3,-0.07697111459200001,-0.027565835338000055,-0.013767666463000094,0.002101400287999766
1948,4,-0.008049992463999955,-0.04871664298,-0.054739856349999894,0.0012004800639997537
1949,1,0.012336380704999872,0.022832619703999635,0.016634452625000185,0.0029028008999998356
1949,2,-0.04699068274000018,-0.025382657136000075,-0.05075758671999997,0.0029028008999998356
1949,3,0.1161913671739998,0.017480230850000167,0.0002723370769999178,0.002702430728999561
1949,4,0.10404185267600008,0.02161988614399979,0.0032043929300000773,0.002602250647999682
1950,1,0.045055450159999566,0.018826104476000083,-0.034033600570000044,0.0028026108099996616
1950,2,0.019677676032000102,-0.02578440339999999,0.010019816171000118,0.0029028008999998356
1950,3,0.11420077252400018,0.018815715764000318,0.10898990082999993,0.0030030009999995055
1950,4,0.08256539025800014,-0.00037751127800000894,0.12197323016799988,0.003403851452000284
1951,1,0.048647163200000065,0.011403765692000079,-0.03403836433399998,0.003403831430000226
1951,2,-0.0030742949519998453,-0.034882632063999996,-0.02257681578400006,0.0037045618720004114
1951,3,0.12318922085000006,0.007197027649999965,0.024579249199999875,0.003804812028000093
1951,4,0.0129990235580002,-0.02786714001599999,-0.014516917679999963,0.0039050021120001777
1952,1,0.03157184367999988,-0.02781300907499995,0.030997973751999863,0.0038047719800002877
1952,2,0.01836884863999999,-0.021365071300000094,0.012298699255999912,0.004005312340000344
1952,3,-0.019097200571999928,0.01833299606499983,-0.01647017910400006,0.004607053600000244
1952,4,0.08344801455200024,-0.03226270981599988,0.0065527234100000165,0.004005242239999873
1953,1,-0.02040311219199986,0.056163269652000025,0.003790333760000042,0.004807644031999958
1953,2,-0.04180312216299997,-0.016840965430000132,0.01294855625000002,0.005108664895999926
1953,3,-0.020642058239999983,-0.015181202919999803,-0.061094267199999996,0.004807674080000268
1953,4,0.07592154128000006,-0.034698602800000033,-0.031601010654999984,0.0034037713519998736
1954,1,0.10797686558599984,-0.001824955000000017,0.01674710067499996,0.002602210615999967
1954,2,0.08663395595999979,-0.027252884253999854,0.020913491870000023,0.0020012902699997337
1954,3,0.09094580000000008,0.011019316159999848,0.03359308241600001,0.0019011502249999257
1954,4,0.13489151629700014,0.0007901060299999596,0.11089209663999977,0.002101460335999672
1955,1,0.034826628200000265,0.011320608200000137,0.04705360232999989,0.0027024207199997097
1955,2,0.10896423827000001,-0.06513626687499996,0.01628781800000012,0.0034038013999997396
1955,3,0.017363356153999865,-0.013594434400000188,0.0012138145750002494,0.004205762560000048
1955,4,0.057343442767999964,0.011925920239999943,-0.018949973406999998,0.005309365508000097
1956,1,0.07317660942400006,-0.025947356950000167,-0.0013551751720001226,0.00561033626999996
1956,2,-0.016565411752000214,-0.0008293411499999959,-0.025616312320000056,0.006212778740000147
1956,3,-0.037212700456,0.01770747943999984,0.009365199425000137,0.005710766731999994
1956,4,0.040593695120000106,-0.003496820503999909,-0.004975405120000054,0.00691581199999991
1957,1,-0.03554658951299994,0.029432453450000118,0.016099199933999886,0.007418224903999793
1957,2,0.07058390529999992,-0.020585789596000104,-0.034794178641000095,0.007518755599999816
1957,3,-0.10214613859200006,-0.006809242880000177,0.009781044799999972,0.008121819499999683
1957,4,-0.05927510112000012,-0.02961004456000005,-0.06411950860799998,0.008121819487999726
1958,1,0.0641855255849999,0.05797173007499978,0.03502808185400008,0.004906963023999955
1958,2,0.085723014584,0.01313058865600003,0.01751173832000008,0.0022014502639999822
1958,3,0.11330410905999999,0.017067053239999908,0.06305614668000015,0.0030023705319999205
1958,4,0.11065946494800016,0.010384701949999853,-0.022281510674000082,0.00510836435600015
1959,1,0.019514118860000096,0.060605940919999934,0.037496278279999906,0.006212798777999851
1959,2,0.05200230036799991,-0.02114250324000011,0.018647773760000153,0.006614490559999853
1959,3,-0.03138353179599995,-0.012755790950000012,0.012449572963999955,0.007518404725000094
1959,4,0.05431831807999976,0.021515173424,-0.052618547619999956,0.009026866519999732
1960,1,-0.07434782221599989,0.021676900400000365,-0.021394693625000127,0.009731303494999954
1960,2,0.03464866278399992,0.012286020535999809,-0.06044544519400008,0.007016182311999852
1960,3,-0.054746340000000004,-0.009554518144000212,0.036284124959999664,0.004607013536000126
1960,4,0.08863379957299977,-0.052466784364000096,-0.0040050419510001545,0.005108464576000005
1961,1,0.13170089726,0.07878669547999984,0.022038295940000063,0.0053092653200002005
1961,2,-0.004661063680000077,-0.004994513371000209,0.024258277154000085,0.005510066120000046
1961,3,0.03205067283500007,-0.04648125961799998,-0.00987443464000004,0.004907964284000199
1961,4,0.06962663822999993,-0.012370645118000123,0.006994613504000213,0.0053093154150001265
1962,1,-0.027955626803999878,0.012337519340000158,0.042975459483999945,0.006413609599999814
1962,2,-0.21931564989999985,-0.04405078774000004,0.053633684924000224,0.006614490560000075
1962,3,0.028680996378000145,0.002923389440000257,-0.03181471004799985,0.007116723040999862
1962,4,0.11953984005500007,-0.0525051700000001,0.024879653599999774,0.006915791959999806
1963,1,0.05576020352000022,0.008139627732000054,0.06631361359999999,0.007116803224999746
1963,2,0.042223884800000056,-0.005129884543999985,0.04248740749999991,0.007217283799999752
1963,3,0.0302686604839999,-0.017607985374999968,0.00876229999999989,0.007920808224999742
1963,4,0.035185002548000055,-0.036496095952000096,0.014757604532000146,0.008524092706999609
1964,1,0.05288648551999997,0.00828569264000012,0.0792338591870001,0.00872518417999979
1964,2,0.028006049069999817,-0.024036490819999812,0.019487955367999854,0.008524062619999606
1964,3,0.02972339993600004,-0.004312411196999988,0.02595354511600001,0.008624663519999798
1964,4,0.006301759760000136,0.008603288576000123,-0.03388168622400012,0.008926416070999865
1965,1,0.026020352816000125,0.07861841699299998,0.017374711080000216,0.009429310239999822
1965,2,-0.03331304384200029,-0.029569932795999954,-0.00603227024499986,0.009731343635000167
1965,3,0.071896983232,0.04388037412999979,0.01046874046800017,0.009530101713000283
1965,4,0.03605169122000018,0.09549881491599987,0.03899298320000022,0.009932665805000296
1966,1,-0.029961943287999948,0.09572778996800002,0.014544163262000032,0.01114109054000001
1966,2,-0.05048055897599979,-0.003116860480000039,-0.014738157760000203,0.011342492972000295
1966,3,-0.10400507873200004,-0.0457224424099999,0.019013398399999826,0.011644807400000179
1966,4,0.05430149248400018,-0.00922633366000003,-0.02947701810999992,0.01255207200000008
1967,1,0.13331166924499982,0.13330747123999975,0.005168833208000212,0.011846350372000103
1967,2,0.018074792383999894,0.08591427144499963,-0.007203865600000081,0.009228138512000106
1967,3,0.06851582179999993,0.06763485382400014,0.016451076724999902,0.009530111744000314
1967,4,0.00245601422000008,0.073655247052,-0.05457044798599997,0.010838836332000001
1968,1,-0.07425278483800002,-0.0037943102199999856,0.05470975173499992,0.011745679280000143
1968,2,0.12286195591999993,0.12092632573399986,0.0036907246799999793,0.013157273205000042
1968,3,0.026179442425000143,0.03879411257600007,0.06671626706999967,0.013358946687999973
1968,4,0.017221333843000064,0.05249730880000003,0.018736611711999807,0.012955539463999965
1969,1,-0.04563927549999991,-0.04851356843999988,0.02134001949199993,0.01457003214799979
1969,2,-0.05919722523399995,-0.06407204412799994,-0.004669173640000079,0.015277079744000055
1969,3,-0.05529942490000006,-0.01256455801199996,-0.05750071149999991,0.016590524299999965
1969,4,-0.015903610360000098,-0.024566974720000023,-0.07086267199999996,0.017703079680000178
1970,1,-0.044005507960000134,-0.01869954418100017,0.11341633498399983,0.018006952039999913
1970,2,-0.21938051980000006,-0.123292335232,0.10146368931199978,0.016186393699999968
1970,3,0.1640177251999999,0.09611232146000015,-0.03184190413299992,0.015984408824000207
1970,4,0.08113996232399989,-0.053793305181999984,0.02851968507199998,0.013459888871999892
1971,1,0.10687996843599978,0.12116568607999989,-0.03670705809999997,0.010133877619999954
1971,2,-0.010548158834999932,-0.030315729687999893,-0.0244195367140001,0.009429240043999698
1971,3,-0.01722687529400002,-0.012353113900000157,-0.0035649268800000966,0.012451059560000033
1971,4,0.0342705491719999,-0.013286381724999963,-0.02543231364600007,0.011141120653000103
1972,1,0.06064436511799998,0.06926100444799999,-0.023675990643999834,0.008121849574999729
1972,2,-0.008847439063000118,-0.022814881408000143,-0.050846219264000014,0.00882583522999969
1972,3,0.012759802239999951,-0.09254093886000003,0.057027780640000136,0.009429420566000157
1972,4,0.05795812304000014,-0.05752169172999999,0.03845258115199979,0.011443344759999974
1973,1,-0.09157906734999999,-0.09822849155800017,0.07066955996000002,0.013258125007999944
1973,2,-0.09918147527199994,-0.12428945811199998,0.06996493494800027,0.015479185252000427
1973,3,0.05816174172800004,0.0886041488,-0.02159286751600009,0.020336224639999623
1973,4,-0.12993599163399994,-0.12886443447999996,0.10061191549399995,0.01861407295999995
1974,1,-0.03421800755200011,0.12422,0.08414971249000014,0.017804504624000073
1974,2,-0.12295455744000006,-0.038214598175999925,-0.0035892282879999016,0.021146587500000313
1974,3,-0.2651504172860001,0.003548464685999786,0.13763899906800026,0.021247640199999918
1974,4,0.07036969535199988,-0.09083731209400003,-0.10027387269999988,0.017601232780000142
1975,1,0.23181787383200003,0.15363019700000025,0.05923560827599994,0.01426645225400014
1975,2,0.14978880728,0.04101293268799999,-0.03853547172499994,0.012955519376000035
1975,3,-0.13118400943999997,-0.00753371084800003,0.011667361472000204,0.01497404211199993
1975,4,0.06381204319999978,-0.060745470511999966,0.041276857850000015,0.01456963020799984
1976,1,0.15107610828000007,0.10866939563699995,0.14706456949699986,0.012148443919999918
1976,2,0.011358786196000059,-0.025722965664000008,-0.007285059327999943,0.012249576821999897
1976,3,0.004025884651999823,-0.016971605920000132,0.022258603874000027,0.013358986855999788
1976,4,0.03464405772000001,0.05588519262800018,0.036176689976999965,0.012148865599999947
1977,1,-0.07162278456999993,0.06876631357500007,0.05931644895999977,0.010939627880000247
1977,2,0.033353869239999945,0.032115253625000006,0.03571230256400004,0.011544116240000069
1977,3,-0.03681021308800003,0.052274809250000054,-0.03604661212000004,0.012955539463999965
1977,4,-0.0029712712000000696,0.06340619571200001,0.015583501946,0.014873130049999794
1978,1,-0.04664838100000013,0.09596595708799982,0.054158778469999946,0.014873009461999986
1978,2,0.07913424147199999,0.06731677759200005,-0.03494953179999993,0.015984388716000275
1978,3,0.07522589081599995,0.048483870973999865,0.001955160799999911,0.017500994431999928
1978,4,-0.08725248663000018,-0.060275123446000056,-0.029680991488000075,0.02175561127999992
1979,1,0.06208671845599989,0.07333799839999999,0.02682600763600007,0.02327816530099991
1979,2,0.014844311359999862,0.03541502494100013,0.03909641932800012,0.024497351360000197
1979,3,0.055327293493999896,0.030168021056000027,-0.007599901491999961,0.023887602107000028
1979,4,-0.01581610195999994,0.03437558408599983,-0.070051562259,0.028363648234999816
1980,1,-0.09239753149999996,-0.06952033155999993,0.014673862159999773,0.02927655151999997
1980,2,0.1267841954600002,0.048333423149999666,0.006026026879999868,0.02702895256599991
1980,3,0.10747313957500015,0.09198235039999991,-0.1280902423739999,0.019321924400000023
1980,4,0.05800843136000022,-0.01235470171599995,-0.08304843555999997,0.032542604720000146
1981,1,-0.009753137821999935,0.05847362188199989,0.0843280780579998,0.03356793648799994
1981,2,-0.04325240292799981,0.05643123409999995,0.07074782074399999,0.03622692669999994
1981,3,-0.15042830438999988,-0.06552980782000006,0.09389310845899979,0.03807316812799977
1981,4,0.04549191735999991,0.022087810394000096,-0.014859581401000077,0.03182895638899996
1982,1,-0.10558728859599997,-0.009842380750000101,0.13590503589600011,0.027242881280000075
1982,2,-0.03872158174400009,0.013749930116000009,0.001840407456000115,0.031831169888000055
1982,3,0.0908112538400001,-0.006367848075999993,0.013934327548999814,0.02337251698000009
1982,4,0.17161289504,0.06788121398600011,-0.054116270960000046,0.019019159038999867
1983,1,0.09259251766100007,0.07946245330000012,0.01993914108799988,0.019525579513999913
1983,2,0.10495127756200007,0.07680723235999998,-0.04828052822000006,0.020843118233000002
1983,3,-0.03661465239999995,-0.022617615350000175,0.12542938891400013,0.022770667424000024
1983,4,-0.030808115713000017,-0.01847705724999993,0.06017183360000011,0.02206016835999991
1984,1,-0.05991305704000005,-0.019261441200000062,0.11734136860399991,0.02216166390800023
1984,2,-0.04766418986199994,-0.013281940512000046,-0.013368660849999991,0.023582903849999948
1984,3,0.06412490752000011,-0.023177560900000005,0.03821982735000007,0.025310545315999855
1984,4,-0.008028824288000003,-0.024699827472000058,0.04179832784300008,0.023884187199999962
1985,1,0.08380149957799987,0.028903825781000148,-0.01645539589599998,0.01861419373999995
