year,quarter,Mom
1975,3,0.005801738239999965
1975,4,-0.008181811000000039
1976,1,0.04997092533199998
1976,2,-0.009832700475999934
1976,3,-0.007306876600000067
1976,4,0.03125232480200002
1977,1,0.05113715636000005
1977,2,0.07984766503999996
1977,3,0.008174259259999817
1977,4,0.03639509168800026
1978,1,0.028384771640000084
1978,2,0.06144578329400008
1978,3,0.038815976000000196
1978,4,-0.005220995890000024
1979,1,0.004341469686999888
1979,2,0.010876421555000126
1979,3,0.038514588383999904
1979,4,0.15436847926399988
1980,1,0.048219212809999856
1980,2,-0.0010047450879999698
1980,3,0.08971260858199992
1980,4,0.15082725915499995
1981,1,-0.08318758325999998
1981,2,-0.03366883998399994
1981,3,-0.0145799030799999
1981,4,0.04938190049600011
1982,1,0.09821258770999997
1982,2,0.07028134400599972
1982,3,0.048081622400000024
1982,4,0.05909405881599983
1983,1,0.028974517063999672
1983,2,0.01885736650500003
1983,3,-0.08303466570399998
1983,4,-0.03820965423599998
1984,1,-0.0106479905850001
1984,2,0.0316327733320001
1984,3,0.005443183316000022
1984,4,0.06338666118400016
1985,1,-0.03349978663600017
1985,2,0.1072940130750002
1985,3,-0.004170780079999936
1985,4,0.040533406055
1986,1,0.08098455376000024
1986,2,0.06726907826000006
1986,3,-0.08865858901599999
1986,4,0.04666794567999988
1987,1,0.014210319043999942
1987,2,-0.00790282612000004
1987,3,0.024083496800000104
1987,4,-0.03507559030000007
1988,1,-0.081364548925
1988,2,-0.0023229050400001006
1988,3,0.013153408903999741
1988,4,0.017969352539999983
1989,1,0.04273412127500009
1989,2,0.035668991279999895
1989,3,0.08482550013199996
1989,4,0.06990461955000016
1990,1,-0.0181456859439999
1990,2,0.08118332640799997
1990,3,0.14303153214800002
1990,4,0.012712828399999987
1991,1,-0.08680931352200005
1991,2,-0.019980252304000023
1991,3,0.0776068589000003
1991,4,0.13052078739600015
1992,1,-0.033858167500000036
1992,2,-0.030473282790000167
1992,3,0.024473915103999655
1992,4,0.06670904374999975
1993,1,0.12187046509999999
1993,2,0.051668395492000085
1993,3,0.09429824613200011
1993,4,-0.05153025535299982
1994,1,-0.015473330631999849
1994,2,-0.026112241149999882
1994,3,0.02993496360800041
1994,4,0.046794287660000045
1995,1,-0.018617080840000022
1995,2,0.04287427010000022
1995,3,0.055871271800000066
1995,4,0.05984791404800016
1996,1,-0.007279011064999952
